24001	02200001	1000	10000001	10000001	一1-2	100
24002	02200002	1000	10000002	10000002	一3-4	80
24003	02200003	1000	10000003	10000003	一5-6	85
24001	02200004	1000	10000004	10000004	一7-8	60
24002	03300001	1000	10000005	20000001	一9-11	95
24003	03300002	1000	10000006	20000002	一1-2	65
24001	03300003	1000	10000007	20000003	一3-4	40
24002	04400001	1000	10000008	20000004	一5-6	70
24003	04400002	1000	10000009	30000001	一7-8	90
24001	04400003	1000	10000010	30000002	一9-11	65
24002	05000003	1000	10000011	30000003	一1-2	75
24003	05000004	1000	10000012	30000004	一3-4	70
24001	05500001	1000	10000013	40000001	一5-6	80
24002	05500002	1000	10000014	40000002	一7-8	50
24003	08300001	1000	10000015	40000003	一9-11	75
24001	08300002	1000	10000016	40000004	一1-2	100
24002	08300003	1000	10000017	50000001	一3-4	85
24003	08300004	1000	10000018	50000002	一5-6	80
24001	08300005	1000	10000019	50000003	一7-8	90
24002	08300006	1000	10000020	50000004	一9-11	65
24003	02200001	1001	10000021	10000001	二1-2	100
24001	02200002	1001	10000022	10000002	二3-4	80
24002	02200003	1001	10000023	10000003	二5-6	85
24003	02200004	1001	10000024	10000004	二7-8	60
24001	03300001	1001	10000025	20000001	二9-11	95
24002	03300002	1001	10000026	20000002	二1-2	65
24003	03300003	1001	10000027	20000003	二3-4	40
24001	04400001	1001	10000028	20000004	二5-6	70
24002	04400002	1001	10000029	30000001	二7-8	90
24003	04400003	1001	10000030	30000002	二9-11	65
24001	05000003	1001	10000031	30000003	二1-2	75
24002	05000004	1001	10000032	30000004	二3-4	70
24003	05500001	1001	10000033	40000001	二5-6	80
24001	05500002	1001	10000034	40000002	二7-8	50
24002	08300001	1001	10000035	40000003	二9-11	75
24003	08300002	1001	10000036	40000004	二1-2	100
24001	08300003	1001	10000037	50000001	二3-4	85
24002	08300004	1001	10000038	50000002	二5-6	80
24003	08300005	1001	10000039	50000003	二7-8	90
24001	08300006	1001	10000040	50000004	二9-11	65
24002	02200001	1002	10000041	10000001	三1-2	100
24003	02200002	1002	10000042	10000002	三3-4	80
24001	02200003	1002	10000043	10000003	三5-6	85
24002	02200004	1002	10000044	10000004	三7-8	60
24003	03300001	1002	10000045	20000001	三9-11	95
24001	03300002	1002	10000001	20000002	三1-2	65
24002	03300003	1002	10000002	20000003	三3-4	40
24003	04400001	1002	10000003	20000004	三5-6	70
24001	04400002	1002	10000004	30000001	三7-8	90
24002	04400003	1002	10000005	30000002	三9-11	65
24003	05000003	1002	10000006	30000003	三1-2	75
24001	05000004	1002	10000007	30000004	三3-4	70
24002	05500001	1002	10000008	40000001	三5-6	80
24003	05500002	1002	10000009	40000002	三7-8	50
24001	08300001	1002	10000010	40000003	三9-11	75
24002	08300002	1002	10000011	40000004	三1-2	100
24003	08300003	1002	10000012	50000001	三3-4	85
24001	08300004	1002	10000013	50000002	三5-6	80
24002	08300005	1002	10000014	50000003	三7-8	90
24003	08300006	1002	10000015	50000004	三9-11	65
24001	02200001	1003	10000016	10000001	四1-2	100
24002	02200002	1003	10000017	10000002	四3-4	80
24003	02200003	1003	10000018	10000003	四5-6	85
24001	02200004	1003	10000019	10000004	四7-8	60
24002	03300001	1003	10000020	20000001	四9-11	95
24003	03300002	1003	10000021	20000002	四1-2	65
24001	03300003	1003	10000022	20000003	四3-4	40
24002	04400001	1003	10000023	20000004	四5-6	70
24003	04400002	1003	10000024	30000001	四7-8	90
24001	04400003	1003	10000025	30000002	四9-11	65
24002	05000003	1003	10000026	30000003	四1-2	75
24003	05000004	1003	10000027	30000004	四3-4	70
24001	05500001	1003	10000028	40000001	四5-6	80
24002	05500002	1003	10000029	40000002	四7-8	50
24003	08300001	1003	10000030	40000003	四9-11	75
24001	08300002	1003	10000031	40000004	四1-2	100
24002	08300003	1003	10000032	50000001	四3-4	85
24003	08300004	1003	10000033	50000002	四5-6	80
24001	08300005	1003	10000034	50000003	四7-8	90
24002	08300006	1003	10000035	50000004	四9-11	65
24003	02200001	1004	10000036	10000001	五1-2	100
24001	02200002	1004	10000037	10000002	五3-4	80
24002	02200003	1004	10000038	10000003	五5-6	85
24003	02200004	1004	10000039	10000004	五7-8	60
24001	03300001	1004	10000040	20000001	五9-11	95
24002	03300002	1004	10000041	20000002	五1-2	65
24003	03300003	1004	10000042	20000003	五3-4	40
24001	04400001	1004	10000043	20000004	五5-6	70
24002	04400002	1004	10000044	30000001	五7-8	90
24003	04400003	1004	10000045	30000002	五9-11	65
24001	05000003	1004	10000001	30000003	五1-2	75
24002	05000004	1004	10000002	30000004	五3-4	70
24003	05500001	1004	10000003	40000001	五5-6	80
24001	05500002	1004	10000004	40000002	五7-8	50
24002	08300001	1004	10000005	40000003	五9-11	75
